Name,Address,Notes,Day
Stay: LINQ Hotel (Las Vegas),"3535 S Las Vegas Blvd, Las Vegas, NV 89109",BOOKED Hotels.com 73410152077445. Resort fee $56.63 at check-in.,Day 1
Stay: Maswik Lodge (Grand Canyon),"Grand Canyon Village, South Rim, AZ 86023",BOOKED Xanterra 20514347. In-park. 888-297-2757.,Day 2-3
Stay: Page Airbnb,"871 Sandpiper Dr, Page, AZ 86040",BOOKED Airbnb HMYET8RCAK. Host Sarah & Jeremy. In 3pm out 11am.,Day 4-6
Stay: Moab Airbnb,"3442 Tierra del Sol Dr, Moab, UT 84532",BOOKED Airbnb HMAW5TWC9Q. Host Patrick & Angie. Hot tub/pool. In 4pm out 10am.,Day 7-10
Stay: SLC Airbnb,"241 W 200 S, Salt Lake City, UT 84101",BOOKED Airbnb HMN2P4MBR9. Rooftop pool/hot tub/gym. In 4pm out 10am.,Day 11-14
Stay: Mountain Modern Victor House (cabin),"8487 Caribou Ct, Victor, ID 83455",BOOKED Airbnb HM2FC8WSJ8. Host Cristine. Keypad. In 4pm out 10am. NOT Driggs - Victor is 12mi south.,Day 15-17
Stay: Crosswinds Inn (West Yellowstone),"201 Firehole Ave, West Yellowstone, MT 59758",BOOKED Booking.com 5288855262 PIN 3523. 406-646-9557. Breakfast incl. In 4pm out 11am. Call to hold bags early.,Day 18-19
Stay: Apgar Village Lodge (in-park cabin),"Apgar Village, West Glacier, MT 59936",BOOKED res 3870048. 1-844-868-7474. Inside Glacier NP near Lake McDonald. In 4pm.,Day 20-21
Buddy's Italian (lunch),"626 E Lewis St, Pocatello, ID 83201",Day 15 lunch stop. Family-run since 1955. Exit 69 off I-15.,Day 15
Sportsman's Warehouse (bear spray),"2867 S 25th E, Idaho Falls, ID 83406",Day 15 bear spray buy. 208-552-9500. Counter Assault or UDAP.,Day 15
Upper Mesa Falls,"Mesa Falls Scenic Byway (ID-47), Ashton, ID 83420",DONE on the way in. 0.6mi boardwalk to 114ft falls.,Day 15
Mormon Row / T.A. Moulton Barn,"Mormon Row Rd, Kelly, WY 83011",Iconic barn with Tetons behind. 0.5mi flat. Bison.,Day 16
Oxbow Bend Turnout,"Oxbow Bend, Moran, WY 83013",Drive-up. Mt Moran reflection. Moose + eagles.,Day 16
Schwabacher Landing,"Schwabacher Landing Rd, Moose, WY 83012",THE reflection view. 1.4mi flat dirt along beaver ponds.,Day 16
Jackson Lake Lodge,"101 Jackson Lake Lodge Rd, Moran, WY 83013",60ft picture windows. Mural Room lunch 307-543-3463.,Day 16
String Lake,"String Lake Trailhead, Moose, WY 83012",Cathedral Group reflection. 0.5mi flat to picnic beach.,Day 16
Old Faithful,"Old Faithful, Yellowstone National Park, WY 82190",Erupts ~every 94 min. 0.7mi flat boardwalk. Use GeyserTimes app.,Day 18
Grand Prismatic (Fairy Falls overlook),"Fairy Falls Trailhead, Yellowstone National Park, WY",1.6mi RT 105ft to the overlook. Best late-day light.,Day 18
Lamar Valley,"Lamar Valley, Yellowstone National Park, WY 82190",Dawn wildlife: wolves bison bears. Drive-by pullouts. 5am start.,Day 19
Mammoth Hot Springs,"Mammoth Hot Springs, Yellowstone National Park, WY 82190",Lower Terraces 0.75mi boardwalk + Upper Terrace drive.,Day 19
Artist Point,"Artist Point, Canyon Village, WY 82190",Iconic Grand Canyon of Yellowstone view. 0.15mi paved.,Day 19
Trail of the Cedars,"Trail of the Cedars, West Glacier, MT 59936",0.9mi accessible boardwalk. Mystical in fog. Bear spray.,Day 21
Lake McDonald (Apgar Pebble Beach),"Apgar Village, West Glacier, MT 59936",Famous colored pebbles. 0.3mi flat. Vivid when wet.,Day 21
Avalanche Lake Trailhead,"Avalanche Creek, West Glacier, MT 59936",Colin+Robin Day 22 5:30am. 4.6mi RT 757ft. Bear spray.,Day 22
Glacier Park Intl Airport (FCA),"4170 US-2 E, Kalispell, MT 59901",Fly home. Mom 2:30pm Delta. Colin+Robin 5:40pm Alaska.,Day 22
